TITLE     = ""
VARIABLES = "x"
"y"
"z"
"u"
"v"
"w"
"rho"
"rhosN2"
"rhosO2"
"rhosNO"
"rhosNO+"
"rhosN2+"
"rhosO2+"
"rhosN"
"rhosO"
"rhosN+"
"rhosO+"
"rhose"
"csN2"
"csO2"
"csNO"
"csNO+"
"csN2+"
"csO2+"
"csN"
"csO"
"csN+"
"csO+"
"cse"
"t"
"tv"
"p"
"m"
"kt"
"kv"
"mu"
ZONE T="61x50"
 STRANDID=0, SOLUTIONTIME=0
 I=96, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE )
 -2.498044074E-002 3.701314854E-004 1.616028931E-005 7.650005859E+003 -1.200958937E-001 -5.243500229E-003 7.195498620E-005 5.518947364E-005 1.676551437E-005 5.530959709E-018 6.579675317E-019 3.628031486E-019 3.915963493E-019 6.602651602E-017 1.087132245E-016 0.000000000E+000 1.934981860E-019 3.248254684E-023 7.669999599E-001 2.330000252E-001 7.686693892E-014 9.144154346E-015 5.042084744E-015 5.442240473E-015 9.176086540E-013 1.510850473E-012 0.000000000E+000 2.689155966E-015 4.514287011E-019 2.168341827E+002 2.168460083E+002 4.496425152E+000 2.586392975E+001 2.230412699E-002 1.081550090E-005 1.523046467E-005
 -2.452882001E-002 3.701238926E-004 1.615995825E-005 7.650007324E+003 -1.371330321E-001 -5.987357814E-003 7.195340004E-005 5.518825128E-005 1.676514876E-005 3.124591053E-017 3.716957589E-018 2.049555862E-018 2.212221136E-018 3.729989257E-016 6.141465853E-016 0.000000000E+000 1.093136447E-018 1.835011508E-022 7.669999003E-001 2.330000699E-001 4.343016289E-013 5.166374801E-014 2.848774073E-014 3.074870545E-014 5.184488255E-012 8.536313149E-012 0.000000000E+000 1.519401941E-014 2.550569026E-018 2.168327026E+002 2.168460083E+002 4.496294975E+000 2.586402321E+001 2.230400965E-002 1.081544724E-005 1.523038372E-005
 -2.407719929E-002 3.701152940E-004 1.615958354E-005 7.650009277E+003 -1.541702151E-001 -6.731217261E-003 7.195181388E-005 5.518703256E-005 1.676478132E-005 5.696085474E-017 6.775947595E-018 3.736308239E-018 4.032845871E-018 6.799713156E-016 1.119579880E-015 0.000000000E+000 1.992774462E-018 3.345197359E-022 7.669998407E-001 2.330001295E-001 7.917362512E-013 9.418333490E-014 5.193339587E-014 5.605516661E-014 9.451366773E-012 1.556177583E-011 0.000000000E+000 2.769888031E-014 4.649709195E-018 2.168312073E+002 2.168460236E+002 4.496165276E+000 2.586411858E+001 2.230389416E-002 1.081539267E-005 1.523030278E-005
 -2.362557857E-002 3.701056896E-004 1.615916335E-005 7.650010742E+003 -1.712074280E-001 -7.475078106E-003 7.195022772E-005 5.518581020E-005 1.676441570E-005 8.267580225E-017 9.834936774E-018 5.423060616E-018 5.853470399E-018 9.869436260E-016 1.625013228E-015 0.000000000E+000 2.892412581E-018 4.855383083E-022 7.669998407E-001 2.330001742E-001 1.149170819E-012 1.367029184E-013 7.537904762E-014 8.136162100E-014 1.371824529E-011 2.258723764E-011 0.000000000E+000 4.020374122E-014 6.748848745E-018 2.168297272E+002 2.168460236E+002 4.496035099E+000 2.586421204E+001 2.230377682E-002 1.081533901E-005 1.523022183E-005
 -2.319283167E-002 3.700953801E-004 1.615871406E-005 7.650012207E+003 -1.928299814E-001 -8.419138379E-003 7.194822683E-005 5.518427497E-005 1.676395004E-005 3.840289094E-016 4.568249855E-017 2.518996907E-017 2.718925799E-017 4.584329928E-015 7.548152844E-015 0.000000000E+000 1.343543643E-017 2.255312383E-021 7.669997811E-001 2.330001742E-001 5.338455372E-012 6.350406312E-013 3.501703322E-013 3.779627707E-013 6.372759959E-011 1.049282397E-010 1.999339646E-036 1.867684338E-013 3.135150510E-017 2.168270874E+002 2.168461456E+002 4.495855331E+000 2.586437607E+001 2.230356634E-002 1.081526716E-005 1.523007631E-005
 -2.276008478E-002 3.700835470E-004 1.615819747E-005 7.650014648E+003 -2.255357057E-001 -9.847101755E-003 7.194521459E-005 5.518197213E-005 1.676324246E-005 1.256903932E-015 1.495148412E-016 8.244481372E-017 8.898848735E-017 1.500416714E-014 2.470455278E-014 0.000000000E+000 4.397329856E-017 7.381462518E-021 7.669999003E-001 2.330000997E-001 1.747290333E-011 2.078486688E-012 1.146110117E-012 1.237077172E-012 2.085810552E-010 3.434313944E-010 6.088770881E-036 6.112967120E-013 1.026137138E-016 2.168218689E+002 2.168465271E+002 4.495559216E+000 2.586469460E+001 2.230315469E-002 1.081515438E-005 1.522979073E-005
 -2.232733790E-002 3.700698638E-004 1.615759902E-005 7.650016602E+003 -2.582415342E-001 -1.127506979E-002 7.194220962E-005 5.517967293E-005 1.676253487E-005 2.129778796E-015 2.533471575E-016 1.396996484E-016 1.507877068E-016 2.542400393E-014 4.186095101E-014 0.000000000E+000 7.451115903E-017 1.250761225E-020 7.669999599E-001 2.330000252E-001 2.960734782E-011 3.521932745E-012 1.942049820E-012 2.096191493E-012 3.534345039E-010 5.819345006E-010 1.017753326E-035 1.035824963E-012 1.738759059E-016 2.168166656E+002 2.168469086E+002 4.495263577E+000 2.586501122E+001 2.230274118E-002 1.081504161E-005 1.522950606E-005
 -2.189459101E-002 3.700543305E-004 1.615692236E-005 7.650019043E+003 -2.909474969E-001 -1.270304341E-002 7.193919737E-005 5.517737009E-005 1.676182910E-005 3.002653447E-015 3.571794737E-016 1.969544699E-016 2.125869130E-016 3.584383563E-014 5.901734586E-014 0.000000000E+000 1.050490063E-016 1.763376037E-020 7.670000792E-001 2.329999357E-001 4.174179405E-011 4.965378369E-012 2.737989306E-012 2.955305488E-012 4.982879109E-010 8.204376067E-010 1.426562696E-035 1.460353106E-012 2.451380847E-016 2.168114624E+002 2.168472900E+002 4.494967461E+000 2.586532974E+001 2.230232768E-002 1.081492883E-005 1.522922048E-005
 -2.147743285E-002 3.700376104E-004 1.615619112E-005 7.650019531E+003 -3.222913742E-001 -1.407154556E-002 7.193643978E-005 5.517525278E-005 1.676118700E-005 2.446068691E-014 2.909645630E-015 1.604445362E-015 1.731796660E-015 2.919941307E-013 4.807727567E-013 3.650788136E-036 8.557753331E-016 1.436494776E-019 7.670000196E-001 2.329999655E-001 3.400815185E-010 4.045334900E-011 2.230690459E-011 2.407749694E-011 4.059649505E-009 6.684274023E-009 5.077486135E-032 1.189800602E-011 1.997185529E-015 2.168101044E+002 2.168604431E+002 4.494767189E+000 2.586541176E+001 2.230222523E-002 1.081803839E-005 1.522914681E-005
 -2.106027468E-002 3.700191797E-004 1.615538713E-005 7.650019043E+003 -3.536892533E-001 -1.544240769E-002 7.193371130E-005 5.517315367E-005 1.676055581E-005 5.192438344E-014 6.176478278E-015 3.405855530E-015 3.676195836E-015 6.198343163E-013 1.020566878E-012 8.356250984E-036 1.816609327E-015 3.049336446E-019 7.669999599E-001 2.330000103E-001 7.219213005E-010 8.587355826E-011 4.735270162E-011 5.111133392E-011 8.617755398E-009 1.418927020E-008 1.161971934E-031 2.525690247E-011 4.239590060E-015 2.168098145E+002 2.168773346E+002 4.494590759E+000 2.586542892E+001 2.230220847E-002 1.082208473E-005 1.522913135E-005
